mem: 140737129892399, val: 0
mem: 140737129892398, val: 0
mem: 140737129892397, val: 0
mem: 140737129892396, val: 0
mem: 140737129892395, val: 0
mem: 140737129892394, val: 0
mem: 140737129892393, val: 0
mem: 140737129892392, val: 0
mem: 140737129892391, val: 0
mem: 140737129892390, val: 0
mem: 140737129892389, val: 0
mem: 140737129892388, val: 0
mem: 140737129892387, val: 0
mem: 140737129892386, val: 0
mem: 140737129892385, val: 0
mem: 140737129892384, val: 0
mem: 140737129892383, val: 0
mem: 140737129892382, val: 0
mem: 140737129892381, val: 0
mem: 140737129892380, val: 0
mem: 140737129892379, val: 0
mem: 140737129892378, val: 0
mem: 140737129892377, val: 0
mem: 140737129892376, val: 8
mem: 140737129892375, val: 0
mem: 140737129892374, val: 0
mem: 140737129892373, val: 0
mem: 140737129892372, val: 0
mem: 140737129892371, val: 0
mem: 140737129892370, val: 0
mem: 140737129892369, val: 0
mem: 140737129892368, val: 0
mem: 140737129892367, val: 0
mem: 140737129892366, val: 0
mem: 140737129892365, val: 0
mem: 140737129892364, val: 0
mem: 140737129892363, val: 0
mem: 140737129892362, val: 0
mem: 140737129892361, val: 0
mem: 140737129892360, val: 0
mem: 140737129892359, val: 0
mem: 140737129892358, val: 0
mem: 140737129892357, val: 0
mem: 140737129892356, val: 0
mem: 140737129892355, val: 0
mem: 140737129892354, val: 0
mem: 140737129892353, val: 0
mem: 140737129892352, val: 1
mem: 140737129892351, val: 0
mem: 140737129892350, val: 0
mem: 140737129892349, val: 127
mem: 140737129892348, val: 43
mem: 140737129892347, val: 250
mem: 140737129892346, val: 35
mem: 140737129892345, val: 95
mem: 140737129892344, val: 24
mem: 140737129892343, val: 0
mem: 140737129892342, val: 0
mem: 140737129892341, val: 0
mem: 140737129892340, val: 0
mem: 140737129892339, val: 0
mem: 140737129892338, val: 0
mem: 140737129892337, val: 0
mem: 140737129892336, val: 0
mem: 140737129892335, val: 0
mem: 140737129892334, val: 0
mem: 140737129892333, val: 127
mem: 140737129892332, val: 43
mem: 140737129892331, val: 250
mem: 140737129892330, val: 0
mem: 140737129892329, val: 108
mem: 140737129892328, val: 182
mem: 140737129892327, val: 0
mem: 140737129892326, val: 0
mem: 140737129892325, val: 127
mem: 140737129892324, val: 255
mem: 140737129892323, val: 242
mem: 140737129892322, val: 181
mem: 140737129892321, val: 108
mem: 140737129892320, val: 128
mem: 140737129892319, val: 0
mem: 140737129892318, val: 0
mem: 140737129892317, val: 127
mem: 140737129892316, val: 255
mem: 140737129892315, val: 242
